country,orderDate,productCode,quantityOrdered,priceEach,orderNumber,productLine,productName,extendedPrice,year,month,sortkey
France,5/20/2003 0:00,S18_1589,26,120.71,10123,Classic Cars,1965 Aston Martin DB5,3138.46,2003,May,5
France,5/20/2003 0:00,S18_2870,46,114.84,10123,Classic Cars,1999 Indy 500 Monte Carlo SS,5282.64,2003,May,5
France,5/20/2003 0:00,S18_3685,34,117.26,10123,Classic Cars,1948 Porsche Type 356 Roadster,3986.84,2003,May,5
France,5/20/2003 0:00,S24_1628,50,43.27,10123,Classic Cars,1966 Shelby Cobra 427 S/C,2163.5,2003,May,5
France,9/27/2004 0:00,S10_2016,39,105.86,10298,Motorcycles,1996 Moto Guzzi 1100i,4128.54,2004,September,9
France,9/27/2004 0:00,S18_2625,32,60.57,10298,Motorcycles,1936 Harley Davidson El Knucklehead,1938.24,2004,September,9
France,11/25/2004 0:00,S24_2022,43,38.98,10345,Vintage Cars,1938 Cadillac V-16 Presidential Limousine,1676.14,2004,November,11
USA,5/21/2003 0:00,S18_1749,21,153,10124,Vintage Cars,1917 Grand Touring Sedan,3213,2003,May,5
USA,5/21/2003 0:00,S18_2248,42,58.12,10124,Vintage Cars,1911 Ford Town Car,2441.04,2003,May,5
USA,5/21/2003 0:00,S18_2325,42,111.87,10124,Vintage Cars,1932 Model A Ford J-Coupe,4698.54,2003,May,5
USA,5/21/2003 0:00,S18_4409,36,75.46,10124,Vintage Cars,1932 Alfa Romeo 8C2300 Spider Sport,2716.56,2003,May,5
USA,5/21/2003 0:00,S18_4933,23,66.28,10124,Classic Cars,1957 Ford Thunderbird,1524.44,2003,May,5
USA,5/21/2003 0:00,S24_1046,22,62.47,10124,Classic Cars,1970 Chevy Chevelle SS 454,1374.34,2003,May,5
USA,5/21/2003 0:00,S24_1937,45,30.53,10124,Vintage Cars,1939 Chevrolet Deluxe Coupe,1373.85,2003,May,5
USA,5/21/2003 0:00,S24_2022,22,36.29,10124,Vintage Cars,1938 Cadillac V-16 Presidential Limousine,798.38,2003,May,5
USA,5/21/2003 0:00,S24_2766,32,74.51,10124,Classic Cars,1949 Jaguar XK 120,2384.32,2003,May,5
USA,5/21/2003 0:00,S24_2887,25,93.95,10124,Classic Cars,1952 Citroen-15CV,2348.75,2003,May,5
USA,5/21/2003 0:00,S24_3191,49,76.19,10124,Classic Cars,1969 Chevrolet Camaro Z28,3733.31,2003,May,5
USA,5/21/2003 0:00,S24_3432,43,101.73,10124,Classic Cars,2002 Chevy Corvette,4374.39,2003,May,5
USA,5/21/2003 0:00,S24_3969,46,36.11,10124,Vintage Cars,1936 Mercedes Benz 500k Roadster,1661.06,2003,May,5
USA,8/6/2004 0:00,S18_1129,34,114.65,10278,Classic Cars,1993 Mazda RX-7,3898.1,2004,August,8
USA,8/6/2004 0:00,S18_1589,23,107.02,10278,Classic Cars,1965 Aston Martin DB5,2461.46,2004,August,8
